Year;Sample
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2010
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
;2009
